water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
序号,"是否参与生成(0不参与,1参与)默认1",河流名称,权属,断面名称,考核街乡,水质标准,pH值,现状水质类别,溶解氧（mg/L),现状水质类别,高锰酸盐指数（mg/L),现状水质类别,化学需氧量（mg/L),现状水质类别,五日生化需氧量（mg/L),现状水质类别,氨氮（mg/L),现状水质类别,总磷（mg/L),现状水质类别,铜（mg/L),现状水质类别,锌（mg/L),现状水质类别,氟化物（mg/L),现状水质类别,硒（mg/L),现状水质类别,砷（mg/L),现状水质类别,汞（mg/L),现状水质类别,镉（mg/L),现状水质类别,六价铬（mg/L),现状水质类别,铅（mg/L),现状水质类别,氰化物（mg/L),现状水质类别,挥发酚（mg/L),现状水质类别,石油类（mg/L),现状水质类别,阴离子表面活性剂（mg/L),现状水质类别,硫化物（mg/L),现状水质类别
1,,清河,市管,滨河路桥,奥运村,Ⅴ,7.91,Ⅰ,5.5,Ⅲ,5.1,Ⅲ,15,Ⅰ,4.1,Ⅳ,0.168,Ⅱ,0.22,Ⅳ,0.0027,Ⅰ,0.0035,Ⅰ,0.205,Ⅰ,0.00020,Ⅰ,0.00040,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0001,Ⅰ,0.0020,Ⅰ,0.00015,Ⅰ,0.01,Ⅰ,0.06,Ⅰ,0.003,Ⅰ
2,,清河,市管,北苑东路,来广营,Ⅴ,7.89,Ⅰ,5.7,Ⅲ,4.2,Ⅲ,13,Ⅰ,3.5,Ⅲ,0.526,Ⅲ,0.12,Ⅲ,0.0025,Ⅰ,0.0030,Ⅰ,0.202,Ⅰ,0.00020,Ⅰ,0.00050,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0000,Ⅰ,0.0020,Ⅰ,0.00015,Ⅰ,0.01,Ⅰ,0.03,Ⅰ,0.003,Ⅰ
3,,清河,市管,沙子营闸,孙  河,Ⅴ,7.63,Ⅰ,5.2,Ⅲ,4.2,Ⅲ,15,Ⅰ,4.3,Ⅳ,0.381,Ⅱ,0.18,Ⅲ,0.0036,Ⅰ,0.0106,Ⅰ,0.248,Ⅰ,0.00020,Ⅰ,0.00070,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0000,Ⅰ,0.0020,Ⅰ,0.00015,Ⅰ,0.01,Ⅰ,0.03,Ⅰ,0.003,Ⅰ
4,,土城沟,市管,安定路,亚运村、安贞,Ⅳ,7.85,Ⅰ,5.9,Ⅲ,3.0,Ⅱ,12,Ⅰ,3.3,Ⅲ,0.323,Ⅱ,0.06,Ⅱ,0.0018,Ⅰ,0.0048,Ⅰ,0.194,Ⅰ,0.00020,Ⅰ,0.00070,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0002,Ⅰ,0.0020,Ⅰ,0.00015,Ⅰ,0.01,Ⅰ,0.03,Ⅰ,0.003,Ⅰ
5,0,土城沟,市管,樱花东桥,小  关,Ⅳ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
6,0,土城沟,市管,北三环东路辅路,太阳宫,Ⅳ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
7,0,土城沟,市管,土城沟出水闸,香河园,Ⅳ,/,劣Ⅴ4,/,Ⅰ,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4,/,劣Ⅴ4
8,,北小河,区管,北辰高尔夫,大  屯,Ⅴ,7.62,Ⅰ,5.5,Ⅲ,5.6,Ⅲ,9,Ⅰ,2.5,Ⅰ,0.418,Ⅱ,0.13,Ⅲ,0.0035,Ⅰ,0.0116,Ⅰ,0.254,Ⅰ,0.00020,Ⅰ,0.00030,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0000,Ⅰ,0.0020,Ⅰ,0.00015,Ⅰ,0.01,Ⅰ,0.03,Ⅰ,0.003,Ⅰ
9,,北小河,区管,北湖村,来广营,Ⅴ,7.71,Ⅰ,5.5,Ⅲ,3.7,Ⅱ,11,Ⅰ,3.1,Ⅲ,0.389,Ⅱ,0.14,Ⅲ,0.0038,Ⅰ,0.0116,Ⅰ,0.246,Ⅰ,0.00020,Ⅰ,0.00015,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0001,Ⅰ,0.0020,Ⅰ,0.00015,Ⅰ,0.01,Ⅰ,0.03,Ⅰ,0.003,Ⅰ
10,,北小河,区管,望京橡胶坝,东  湖,Ⅴ,8.61,Ⅰ,5.5,Ⅲ,7.3,Ⅳ,25,Ⅳ,7.0,Ⅴ,0.391,Ⅱ,0.20,Ⅲ,0.0000,Ⅰ,0.0032,Ⅰ,0.272,Ⅰ,0.00020,Ⅰ,0.00040,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0000,Ⅰ,0.0020,Ⅰ,0.00015,Ⅰ,0.01,Ⅰ,0.03,Ⅰ,0.003,Ⅰ
11,,北小河,区管,南皋路,崔各庄,Ⅴ,7.88,Ⅰ,5.6,Ⅲ,6.6,Ⅳ,19,Ⅲ,5.1,Ⅳ,4.070,劣Ⅴ1,0.46,劣Ⅴ1,0.0030,Ⅰ,0.0037,Ⅰ,0.266,Ⅰ,0.00020,Ⅰ,0.00150,Ⅰ,0.00002,Ⅰ,0.00003,Ⅰ,0.002,Ⅰ,0.0001,Ⅰ,0.0020,Ⅰ,0.00015,Ⅰ,0.01,Ⅰ,0.03,Ⅰ,0.003,Ⅰ
