,河流名称,断面名称,超标指标,现状浓度（mg/L),目标浓度（mg/L),生成是否成功
0,北小河,南皋路,氨氮（mg/L),4.070,2,成功
1,北小河,南皋路,总磷（mg/L),0.46,0.4,成功
2,北小河,东岗子闸,氨氮（mg/L),6.960,2,成功
3,北小河,东岗子闸,总磷（mg/L),0.53,0.4,成功
4,北小河,东坝路,五日生化需氧量（mg/L),10.4,10,成功
5,北小河,东坝路,氨氮（mg/L),7.840,2,成功
6,北小河,东坝路,总磷（mg/L),0.90,0.4,成功
7,北小河,东坝路,阴离子表面活性剂（mg/L),0.32,0.3,成功
8,清洋河,入清河口,化学需氧量（mg/L),41,30,成功
9,清洋河,入清河口,五日生化需氧量（mg/L),11.2,6,成功
10,清洋河,入清河口,氨氮（mg/L),4.760,1.5,成功
11,清洋河,入清河口,总磷（mg/L),0.76,0.3,成功
12,温榆河（右岸）,苇沟闸,五日生化需氧量（mg/L),14.8,10,成功
13,温榆河（右岸）,温榆河大桥,五日生化需氧量（mg/L),14.4,10,成功
14,温榆河（右岸）,温榆河大桥,氨氮（mg/L),2.920,2,成功
15,北护城河,东直门闸,五日生化需氧量（mg/L),7.4,6,成功
16,坝  河,香河园西街,五日生化需氧量（mg/L),8.2,6,成功
17,坝  河,太阳宫中路,五日生化需氧量（mg/L),7.2,6,成功
18,坝  河,京密路辅路,五日生化需氧量（mg/L),11.0,6,成功
19,坝  河,东四环北路辅路,五日生化需氧量（mg/L),13.4,6,成功
20,坝  河,将府公园桥,五日生化需氧量（mg/L),12.0,10,成功
21,坝  河,机场二高速下游无名桥,五日生化需氧量（mg/L),12.7,10,成功
22,坝  河,温榆河西路,五日生化需氧量（mg/L),12.1,10,成功
23,坝  河,温榆河西路,氨氮（mg/L),2.160,2,成功
24,亮马河,东三环北路辅路,五日生化需氧量（mg/L),10.4,6,成功
25,亮马河,东四环北路辅路,五日生化需氧量（mg/L),11.4,6,成功
26,亮马河,怡思苑北门桥,五日生化需氧量（mg/L),11.7,6,成功
27,亮马河,酒仙桥路,五日生化需氧量（mg/L),11.6,6,成功
28,亮马河,三街坊市场桥,五日生化需氧量（mg/L),12.5,6,成功
29,亮马河,驼房营南路,五日生化需氧量（mg/L),11.9,6,成功
30,亮马河,南岗子七棵树,五日生化需氧量（mg/L),10.0,6,成功
31,亮马河,入坝河口,五日生化需氧量（mg/L),10.4,6,成功
32,草场地排水沟,入坝河口,氨氮（mg/L),24.500,2,成功
33,草场地排水沟,入坝河口,总磷（mg/L),0.50,0.4,成功
34,草场地排水沟,入坝河口,阴离子表面活性剂（mg/L),1.33,0.3,成功
35,通惠干渠,双园路,溶解氧（mg/L),1.9,2,成功
36,通惠干渠,双园路,化学需氧量（mg/L),53,40,成功
37,通惠干渠,双园路,五日生化需氧量（mg/L),14.3,10,成功
38,通惠干渠,双园路,氨氮（mg/L),7.980,2,成功
39,通惠干渠,双园路,总磷（mg/L),1.54,0.4,成功
40,通惠干渠,双园路,汞（mg/L),0.00142,0.001,成功
41,通惠干渠,京哈高速辅路,氨氮（mg/L),3.190,2,成功
42,通惠干渠,京哈高速辅路,总磷（mg/L),0.49,0.4,成功
43,通惠干渠,京哈高速辅路,汞（mg/L),0.00199,0.001,成功
44,通惠干渠,大鲁店北路,汞（mg/L),0.00123,0.001,成功
45,大羊坊沟,东马路西侧无名桥,氨氮（mg/L),4.710,2,成功
46,半壁店沟,铁路桥,汞（mg/L),0.00108,0.001,成功
47,半壁店沟,铁路桥,硫化物（mg/L),1.550,1,成功
48,半壁店沟,半壁店村,汞（mg/L),0.00119,0.001,成功
49,半壁店沟,半壁店村,阴离子表面活性剂（mg/L),0.51,0.3,成功
50,大柳树沟,金蝉西路,汞（mg/L),0.00123,0.001,成功
51,大柳树沟,孛罗营北闸,五日生化需氧量（mg/L),13.8,10,成功
52,大柳树沟,孛罗营北闸,氨氮（mg/L),2.100,2,成功
53,大柳树沟,孛罗营北闸,总磷（mg/L),0.63,0.4,成功
54,大柳树沟,孛罗营北闸,汞（mg/L),0.00127,0.001,成功
55,大柳树沟,孛罗营北闸,阴离子表面活性剂（mg/L),0.49,0.3,成功
56,大柳树沟,孛罗营北闸,硫化物（mg/L),1.230,1,成功
57,大柳树沟,天达路,化学需氧量（mg/L),41,40,成功
58,大柳树沟,天达路,汞（mg/L),0.00141,0.001,成功
59,萧太后河,翠城馨园南区,溶解氧（mg/L),0.1,2,成功
60,萧太后河,翠城馨园南区,氨氮（mg/L),4.710,2,成功
61,萧太后河,翠城馨园南区,总磷（mg/L),0.58,0.4,成功
62,萧太后河,翠城馨园南区,汞（mg/L),0.00120,0.001,成功
63,萧太后河,康化路,汞（mg/L),0.00112,0.001,成功
64,通惠排干,大鲁店北路,氨氮（mg/L),2.210,2,成功
65,南大沟,双桥东路,化学需氧量（mg/L),67,40,成功
66,南大沟,双桥东路,五日生化需氧量（mg/L),20.3,10,成功
67,南大沟,双桥东路,氨氮（mg/L),8.050,2,成功
