,序号,出现频率最高的地址,最高重复次数,各数据出现次数
0,1,北京市朝阳区豆各庄地区办事处豆各庄桥9号,1,{'北京市朝阳区豆各庄地区办事处豆各庄桥9号': 1}
1,2,北京市朝阳区豆各庄地区办事处马家湾村朝阳区马家湾村东162号,1,{'北京市朝阳区豆各庄地区办事处马家湾村朝阳区马家湾村东162号': 1}
2,3,北京市朝阳区豆各庄地区办事处西马各庄村内,1,{'北京市朝阳区豆各庄地区办事处西马各庄村内': 1}
3,4,北京市朝阳区豆各庄地区办事处于家围南队村内,1,{'北京市朝阳区豆各庄地区办事处于家围南队村内': 1}
4,5,北京市朝阳区豆各庄地区办事处于家围北队村,1,"{'北京市朝阳区豆各庄地区办事处于家围北队村': 1, '北京市朝阳区于家围北村东侧1号库': 1}"
5,6,北京市朝阳区豆各庄地区办事处黄厂村豆各庄桥朝阳区南豆各庄1号,1,{'北京市朝阳区豆各庄地区办事处黄厂村豆各庄桥朝阳区南豆各庄1号': 1}
6,7,北京市朝阳区豆各庄地区办事处豆各庄村朝阳区双桥孙家坡村,1,{'北京市朝阳区豆各庄地区办事处豆各庄村朝阳区双桥孙家坡村': 1}
7,8,北京市朝阳区豆各庄地区办事处马家湾村朝阳区豆各庄乡经济合作社村西南,1,{'北京市朝阳区豆各庄地区办事处马家湾村朝阳区豆各庄乡经济合作社村西南': 1}
8,9,北京市朝阳区豆各庄地区办事处孙家坡村孙家坟南,1,{'北京市朝阳区豆各庄地区办事处孙家坡村孙家坟南': 1}
9,10,北京市朝阳区豆各庄地区办事处孙家坡村朝阳区豆各庄6号院北200米,1,{'北京市朝阳区豆各庄地区办事处孙家坡村朝阳区豆各庄6号院北200米': 1}
10,11,北京市朝阳区豆各庄地区办事处豆各庄村朝阳区双桥农场水牛坊1号西300米,1,{'北京市朝阳区豆各庄地区办事处豆各庄村朝阳区双桥农场水牛坊1号西300米': 1}
11,12,北京市朝阳区豆各庄地区办事处马家湾村朝阳区豆各庄乡水牛坊村南,1,{'北京市朝阳区豆各庄地区办事处马家湾村朝阳区豆各庄乡水牛坊村南': 1}
12,13,北京市朝阳区豆各庄地区办事处马家湾村朝阳区豆各庄乡水牛坊村南侧,1,{'北京市朝阳区豆各庄地区办事处马家湾村朝阳区豆各庄乡水牛坊村南侧': 1}
13,14,北京市朝阳区豆各庄地区办事处水牛坊村,1,"{'北京市朝阳区豆各庄地区办事处水牛坊村': 1, '北京市朝阳区豆各庄乡水牛坊村南侧': 1}"
